AAL,AAL600,JHU,N=850,N=1000,N=5000
28174,1792,15644,3693,2118,245
27058,1856,1500,2950,1806,463
28915,1760,8851,1688,3320,321
32089,1624,13711,1497,1601,423
7654,1736,12729,2555,944,518
7859,1936,659,1217,1746,391
38722,1736,1362,2401,1183,372
40374,1824,1370,1040,981,137
7112,1792,690,3684,2360,526
8057,1680,699,3239,1506,301
8271,1784,968,1606,3530,266
11174,1816,968,807,1329,203
20104,1648,992,3070,2025,528
17132,1816,992,3684,1246,423
13590,1600,2278,2779,1481,373
13747,1808,2278,827,2193,390
7939,1536,3138,3114,1299,327
10733,1592,3018,977,2332,412
17282,1600,3754,2105,1666,625
18885,1544,3752,1197,2704,475
2262,1664,2515,1615,2704,229
2286,1624,2469,1985,3340,724
23852,1952,6849,3179,1081,368
16979,1800,6852,4084,1921,621
5792,1992,7500,1263,1106,817
6870,1856,7508,2590,2027,541
6864,1936,3728,2051,2107,352
5930,1784,3714,2040,2268,226
15025,1856,3972,1587,2303,430
14128,1616,3978,1304,1985,316
11289,1376,2228,3127,1265,429
10442,1320,2231,2986,1381,382
15512,1728,5611,2135,1189,515
17442,1744,5587,1873,2368,321
3715,1696,2342,595,2808,33
2654,1600,2751,2661,1795,264
7469,1768,1236,2236,3391,281
7606,1776,1155,2625,1590,651
7891,1912,1124,2086,1287,130
9028,1696,1125,1162,1701,80
1733,1808,6607,1653,3374,276
1965,1984,6605,2512,1248,433
18157,1864,507,3034,2675,491
14885,1856,507,2207,3447,244
12133,2088,380,1863,740,353
11323,1928,376,720,2076,292
16932,1784,596,1584,3003,495
18450,1560,600,2199,1076,474
10791,2152,,2806,1893,249
11149,2280,,1369,1611,295
25989,2088,,2220,2974,375
16512,2128,,2288,2721,448
7536,2272,,2388,1471,477
7929,1848,,1963,1093,284
18333,1912,,1112,2251,251
20227,1896,,2594,1754,552
31053,1976,,2231,1355,289
30652,1840,,2225,1345,155
16519,2152,,1911,1598,344
17554,2056,,1443,4775,137
19447,1672,,3421,1983,487
10763,2184,,1446,1366,344
9907,2040,,1428,2667,345
15770,1952,,1236,2857,327
9313,2160,,1338,1894,184
14009,2088,,3557,1156,542
28358,1896,,1546,2243,521
26083,1560,,3198,1754,225
10826,1888,,2004,2020,346
6693,1904,,2212,5386,208
7682,2184,,2535,2742,455
7941,2000,,1764,2331,336
7942,2608,,3015,2239,365
8510,2384,,2836,878,278
2285,2344,,2824,2252,437
2188,2464,,2626,1454,664
