AAL,AAL600,JHU,N=850,N=1000,N=5000
0.420515255,0.518510666,0.351818405,0.504546867,0.575446383,0.459583362
0.390276601,0.540206013,0.502133206,0.534218748,0.553381055,0.530084952
0.319213624,0.575940765,0.379399905,0.510873337,0.595925223,0.544997047
0.331526946,0.491287709,0.325613746,0.499090616,0.437716806,0.510312781
0.338537392,0.482408972,0.402505991,0.482290241,0.4466127,0.501472259
0.341722196,0.513113313,0.444440734,0.503880078,0.49590392,0.471868954
0.394460089,0.50181623,0.473846845,0.538583472,0.477010091,0.51468694
0.375471295,0.498576861,0.471191517,0.471871713,0.490197591,0.440130688
0.44137648,0.575379577,0.572145188,0.511772125,0.522694919,0.526954887
0.447002719,0.527333438,0.56512217,0.541793176,0.513231686,0.534977793
0.406626713,0.529275051,0.435750477,0.52551905,0.554480286,0.581451426
0.410229761,0.562364699,0.435750477,0.42599521,0.510093153,0.469207363
0.535097149,0.465965434,0.465198209,0.542779482,0.613349649,0.55815777
0.477112458,0.489012782,0.465198209,0.524810905,0.503567893,0.560714044
0.462701428,0.526713529,0.502548839,0.527535425,0.472428246,0.519887818
0.448041468,0.537209005,0.502548839,0.48638894,0.53074618,0.528981772
0.404826389,0.596102824,0.446399674,0.561682017,0.444240917,0.494687928
0.441970718,0.584525866,0.435695943,0.467734483,0.508020263,0.548692613
0.516548652,0.540483817,0.48348541,0.533804946,0.513309699,0.542196288
0.542811653,0.527797794,0.484115188,0.507624541,0.43535128,0.485818341
0.403740979,0.461330175,0.44056847,0.52169315,0.595569391,0.497286187
0.399621624,0.419693018,0.441707583,0.511258492,0.532819959,0.576806049
0.440828951,0.530429103,0.432991569,0.600890348,0.459721512,0.532921719
0.418917718,0.542115548,0.433548534,0.477799942,0.52479825,0.459532701
0.513729761,0.503693979,0.461616083,0.518393873,0.577226418,0.562014674
0.521376284,0.488207573,0.462174567,0.548105271,0.519836802,0.588061831
0.496485389,0.408259723,0.398458204,0.409579617,0.543642134,0.550433836
0.48244829,0.542184198,0.402145736,0.461915089,0.571776939,0.498410577
0.3534092,0.527715701,0.454949794,0.462053311,0.524478116,0.479974173
0.356574691,0.520277517,0.442462569,0.528583027,0.481601631,0.471341009
0.40331942,0.498557401,0.42699271,0.507417217,0.472947893,0.477565746
0.455505899,0.527105651,0.425613546,0.56399974,0.540285856,0.471482893
0.451771536,0.540668109,0.349272305,0.462416814,0.501623761,0.579683342
0.423610651,0.554329559,0.349234186,0.545922402,0.498929032,0.497190288
0.500429886,0.521027635,0.321105182,0.461060797,0.551910995,0.452307788
0.467243285,0.454362769,0.329674506,0.534930861,0.52752344,0.60675435
0.388033934,0.589238414,0.376838562,0.583985509,0.576919014,0.523913776
0.385638099,0.534049309,0.372279747,0.51757335,0.49384771,0.493545242
0.370463759,0.560976465,0.413600693,0.468276924,0.506358431,0.484774456
0.361382763,0.580875404,0.417146179,0.460783466,0.456362608,0.467637741
0.545949299,0.515597148,0.342470007,0.549660146,0.547774233,0.492791848
0.511930444,0.505002404,0.341988194,0.542258881,0.447736863,0.465968198
0.447464791,0.497592226,0.54712486,0.501241119,0.517144443,0.483891583
0.471373296,0.454203066,0.54712486,0.489700138,0.524484403,0.460567709
0.467667238,0.561093364,0.592783473,0.507762668,0.457922021,0.447308175
0.394964902,0.511698803,0.562338745,0.468052278,0.531749767,0.545768021
0.392222423,0.483251133,0.462824753,0.525707569,0.560464376,0.550205466
0.395573599,0.464628474,0.467419841,0.419372227,0.512928831,0.524986729
0.357048924,0.508889854,,0.544160452,0.548986049,0.506359026
0.380073575,0.436321011,,0.39908845,0.522469216,0.463863456
0.393238224,0.488873426,,0.481834886,0.518188127,0.496997785
0.444544378,0.523610708,,0.462896811,0.56575468,0.489863366
0.435124436,0.564713227,,0.511234674,0.51438978,0.569945441
0.482178587,0.517228898,,0.460052205,0.558969637,0.483666422
0.322556215,0.596936495,,0.439140177,0.550077871,0.425724036
0.332046625,0.482301335,,0.569193251,0.5765151,0.57091132
0.397017661,0.455448362,,0.47290394,0.52871987,0.487071767
0.373658132,0.537096903,,0.498915992,0.499363705,0.468262083
0.434325981,0.425148485,,0.509382331,0.558277689,0.488525026
0.433898928,0.552208319,,0.507841402,0.572807764,0.539992273
0.42308127,0.475735202,,0.515473769,0.467712646,0.502254503
0.4658962,0.521828685,,0.522289487,0.463681285,0.494631589
0.475836731,0.540184034,,0.396667641,0.476941219,0.468273745
